Timestamp,Open,High,Low,Close,Volume
2020-06-29,224.8,229.82,221.19,227.8,45110.12092891
2020-06-30,227.88,228.78,222.8,225.68,32825.57111343
2020-07-01,225.61,233.0,224.16,231.11,39744.49044874
2020-07-02,231.19,232.07,223.0,226.41,49455.95856067
2020-07-03,226.47,228.27,224.3,225.01,16877.29789183
2020-07-04,225.08,230.68,224.52,229.25,19137.6400073
2020-07-05,229.24,229.97,223.57,227.96,23645.48176223
2020-07-06,227.89,242.3,227.0,241.84,80304.76955511
2020-07-07,241.86,243.7,234.54,239.34,60652.59125132
2020-07-08,239.46,248.9,237.87,246.97,51855.09043174
2020-07-09,246.97,247.85,237.81,241.89,53383.08110505
2020-07-10,241.97,242.02,235.33,241.12,34480.29863509
2020-07-11,241.13,241.52,237.61,239.24,16886.0330219
2020-07-12,239.27,243.98,236.75,243.0,37886.54015153
2020-07-13,243.0,245.26,237.46,239.42,57063.36521768
2020-07-14,239.24,241.9,236.89,240.35,25030.39892478
2020-07-15,240.44,241.28,236.58,238.37,30353.86840651
2020-07-16,238.32,239.11,229.75,233.73,42144.5691623
2020-07-17,233.45,234.4,231.54,232.79,23918.18615452
2020-07-18,232.78,237.01,232.29,235.8,18441.91571754
2020-07-19,235.8,240.11,233.41,239.25,19368.85971479
2020-07-20,239.4,239.88,234.3,236.19,28616.32246201
2020-07-21,236.19,247.0,235.74,246.01,60144.41712042
2020-07-22,246.01,269.5,242.18,264.53,63931.61063056
2020-07-23,264.61,281.43,260.37,275.59,110724.22839087
2020-07-24,275.5,287.91,268.57,279.42,85495.7105802
2020-07-25,279.52,309.94,279.52,305.89,97505.64028131
2020-07-26,305.81,319.83,300.48,311.52,101680.13872205
2020-07-27,311.47,334.28,307.7,322.44,183440.17045428
2020-07-28,322.39,327.23,306.35,317.43,96728.72828196
2020-07-29,317.56,325.5,313.31,318.18,58271.03187517
2020-07-30,318.09,343.0,314.68,335.25,83409.87095787
2020-07-31,335.41,349.74,328.77,347.0,74692.3857674
2020-08-01,346.9,394.07,343.9,387.57,115978.80544895
2020-08-02,387.5,416.39,300.0,372.17,225549.50743617
2020-08-03,372.26,398.29,367.0,386.21,92318.17389541
2020-08-04,386.4,403.52,381.1,389.91,90678.56449128
2020-08-05,390.06,407.89,384.24,401.25,71758.24275166
2020-08-06,401.26,403.77,391.5,395.17,42415.06450057
2020-08-07,395.17,399.0,363.22,379.67,86725.3015718
2020-08-08,379.62,397.4,376.04,397.4,46663.6312043
